Agricultural zone,month(chara),rainfall (mm),temperature(avg),humidity(avg),sunlight(hour),direction of wind(deg),velocity of wind(km/h),label,,,,
Rajshahi,4.25,13,29.5,61.6,57,185,6.1,Kharif cucumber,,,,
Bogra,11,5,26,75,52,186,4.4,garlic,,,,
Cumilla,10,51,28.8,82.9,39,203,4.6,garlic,,,,
Dhaka,11,12.5,26.2,74.5,49.5,19,3.7,garlic,,,,
Dinajpur,11,5,14.9,75.7,55,149,3.5,garlic,,,,
Faridpur,11,11.5,26.4,76.4,48.5,202,2.8,garlic,,,,
Jashore,11,9,25.9,76,45.5,153,2.5,garlic,,,,
Mymensingh,11,7,25.9,78,51,186,3.7,garlic,,,,
Rajshahi,10,44,28.9,81.9,46,145,4.8,garlic,,,,
Rangpur,11,4,25,76.6,55.5,115,6.6,garlic,,,,
Rangpur,11,9.14,28.77,72.31,55.98,124.06,1.69,garlic,,,,
Rangpur,11,2.12,23.18,86.43,56.48,122.87,10,garlic,,,,
Barisal,10,55.3,28.6,85.1,36.7,220,4,robi lau (gourd),,,,
Bogra,10,51,28.6,82.4,44,170,5,robi lau (gourd),,,,
Chittagonj,10.25,75.7,28.3,82.4,45.8,203,6.7,robi lau (gourd),,,,
Cumilla,9,53,28.8,84.3,32,186,5.3,robi lau (gourd),,,,
Dhaka,9,60.5,29.2,82.5,33.5,163,5.5,robi lau (gourd),,,,
Jashore,10,44.5,29.1,81.7,40,195,3.1,robi lau (gourd),,,,
Khulna,11,44.5,26.3,76.7,48.5,173,3.4,robi lau (gourd),,,,
Mymensingh,8,72,29.1,84.7,33,153,6.1,robi lau (gourd),,,,
Rajshahi,10,44,28.6,81.9,46,145,4.8,robi lau (gourd),,,,
Sylhet,8,123.5,28.7,84.4,33,173,6.4,robi lau (gourd),,,,
Barisal,4,18,28.5,77.3,53,200,6.9,khorip lau (grourd),,,,
Bogra,3,4,25,62.7,55,230,5.4,khorip lau (grourd),,,,
Chittagonj,4,21.3,27.8,76.7,56,209,10,khorip lau (grourd),,,,
Cumilla,3,7,25,70.6,52.5,216,4.8,khorip lau (grourd),,,,
Dhaka,3,4,25,62.7,55,230,5.4,khorip lau (grourd),,,,
Jashore,5,28.5,30.1,71.3,54,186,5.6,khorip lau (grourd),,,,
Khulna,7,92,29,85.7,21.5,186,5.6,khorip lau (grourd),,,,
Mymensingh,2,2,19.5,70.3,44,228,3.7,khorip lau (grourd),,,,
Rajshahi,6,48,30.5,78.6,48,139,6.7,khorip lau (grourd),,,,
Sylhet,6,148.5,27.7,82.9,33.5,162,6.5,khorip lau (grourd),,,,
Bogra,4,8,28.1,66.2,56,173,6.7,Khorip Mug 1,,,,
Dhaka,4,25,28.4,68.6,53.5,181,6.5,Khorip Mug 1,,,,
Khulna,4.5,37,30.6,75.7,55,177,7.1,Khorip Mug 1,,,,
Mymensingh,4.5,20,27,72,49,149,7.2,Khorip Mug 1,,,,
Rajshahi,3.5,4,27,59.4,59,208,5.6,Khorip Mug 1,,,,
Barisal,1.5,1,19.2,73.1,47.3,204,4.5,Robi Mug,,,,
Chittagonj,9,92.7,28.3,84.5,35.8,185,8.6,Robi Mug,,,,
Dhaka,9,70,29.1,82.3,32,176,4.3,Robi Mug,,,,
Dinajpur,3.25,1,23.1,62.1,59,230,4.3,Robi Mug,,,,
Faridpur,10.5,43,28,79.3,46,208,2.9,Robi Mug,,,,
Jashore,2.5,4.5,21.8,67.5,50,203,3.3,Robi Mug,,,,
Khulna,2.5,5,22.6,69.1,55.5,209,4.8,Robi Mug,,,,
Mymensingh,9.5,79,29,84.6,31,156,5.4,Robi Mug,,,,
Rangpur,2.5,3.5,20.2,70.4,50,201,7.5,Robi Mug,,,,
Barisal,11,25.3,25.7,79.2,47.3,21.4,3.1,Badam robi,,,,
Chittagonj,10,66.7,28.6,82.9,42.8,209,6.8,Badam robi,,,,
Cumilla,10,51,28.8,82.9,39,203,4.6,Badam robi,,,,
Dhaka,10.5,40.5,27.9,77.6,47.5,192,4.1,Badam robi,,,,
Faridpur,10.25,43,28.5,82.7,39.5,206,3.7,Badam robi,,,,
Jashore,11,8,25.3,74,48.5,175,2.3,Badam robi,,,,
Rajshahi,12,1,20.5,70.8,51,143,3.7,Badam robi,,,,
Rangamati,10.25,53,28.3,81.7,44,195,3.7,Badam robi,,,,
Rangpur,11,3,24.4,75.1,55,106,6.6,Badam robi,,,,
Sylhet,10.25,63,27.9,83.8,40.5,190,4.6,Badam robi,,,,
Barisal,1,1.3,18.9,74.1,46.7,209,4.5,Badam Kharip - 1,,,,
Dinajpur,3.5,2,25.3,61.2,55,192,5.6,Badam Kharip - 1,,,,
Faridpur,2.5,3.5,19.8,70.4,49,205,3.4,Badam Kharip - 1,,,,
Rajshahi,2.5,4,24.3,61.5,59,220,5.4,Badam Kharip - 1,,,,
Rangpur,3,1,23,64.7,57.5,207,7.8,Badam Kharip - 1,,,,
Barisal,1.75,2.7,20.5,71.7,50.3,217,5,Guava,,,,
Dhaka,1.75,3.5,19.9,67.3,49.5,241,4.3,Guava,,,,
Dinajpur,1.75,1,18.1,71.2,44,241,3.7,Guava,,,,
Faridpur,1.75,3.5,19.8,70.8,49,205,3.4,Guava,,,,
Jashore,1.75,6.5,19.3,69.5,47.5,186,3.2,Guava,,,,
Khulna,1.75,5.5,20.4,70,52.5,190,4.9,Guava,,,,
Mymensingh,1.75,2,19.5,70.3,44,228,3.7,Guava,,,,
Rajshahi,1.75,4,18.8,70,51,198,3.9,Guava,,,,
Bogra,12,0,21.4,70.9,54,222,3.7,jackfruit,,,,
Chittagonj,12,1,22.8,71.9,54.8,204,5.1,jackfruit,,,,
Dhaka,12,1.5,21.5,71.2,48.5,219,3.7,jackfruit,,,,
Dinajpur,12,0,20.2,72.6,48,183,2.6,jackfruit,,,,
Jashore,12,2,20.9,71.2,47.5,184,2.3,jackfruit,,,,
Mymensingh,12,1,21.3,73.8,49,191,3,jackfruit,,,,
Rajshahi,12,21,20.5,70.8,51,143,3.7,jackfruit,,,,
Rangamati,12,0,22.3,75.8,53,169,3.7,jackfruit,,,,
Rangpur,12,0,20.4,74.2,49.5,129,6,jackfruit,,,,
Barisal,7.75,115,28.5,88.8,25.3,175,6.5,indian jujube,,,,
Chittagonj,7.75,173,28.1,86.1,30,174,10.3,indian jujube,,,,
Dhaka,7.75,82,29.1,82.7,32,159,5.9,indian jujube,,,,
Khulna,7.75,77,29.1,85.6,29,179,6.2,indian jujube,,,,
Rajshahi,7.75,72,29.3,85.4,34,140,6.7,indian jujube,,,,
Barisal,3,5.7,24.5,70.8,53.7,214,5.1,jute,,,,
Bogra,3,5,22.9,63.4,60,235,5.7,jute,,,,
Cumilla,3,4.5,23.9,70.3,52.5,215,4.6,jute,,,,
Dhaka,3,3.5,23.7,63,56,234,5,jute,,,,
Dinajpur,3,4,24.1,61.3,59,212,5.4,jute,,,,
Faridpur,3,5,24,66.4,54.5,222,4.5,jute,,,,
Jashore,4,11.5,29.2,66.9,55.5,209,5.1,jute,,,,
Khulna,4,12.5,29.5,71.5,59,202,7.1,jute,,,,
Mymensingh,3,1,22.9,67.6,51,214,5,jute,,,,
Rajshahi,3.25,3,25.4,59.6,59,214,5.4,jute,,,,
Rangpur,3,2.5,21.9,67.1,56.6,201,7.7,jute,,,,
Bogra,1,0,18.1,72.5,44,258,4.3,licchi,,,,
Dinajpur,1,2,16.7,75.9,34,225,3.7,licchi,,,,
Jashore,1,0.5,17.7,72.5,41,158,3,licchi,,,,
Mymensingh,1,0,18.2,74.4,41,230,3.7,licchi,,,,
Rajshahi,1,1,17.5,72.9,42,146,3.9,licchi,,,,
Rangamati,1,0,19.8,73.3,52,165,3.7,licchi,,,,
Rangpur,1,1,16.8,77.3,36,199,5.7,licchi,,,,
Bogra,4,8,28.1,56.2,56,173,6.7,corn khorip-1,,,,
Cumilla,4.5,33,28.4,77.4,52.5,185,7.7,corn khorip-1,,,,
Dhaka,4.5,31.5,28.9,71.7,55,167,6.6,corn khorip-1,,,,
Dinajpur,3.5,4,24.1,61.4,59,212,5.4,corn khorip-1,,,,
Mymensingh,4.5,40,27.5,76.1,49,143,7.2,corn khorip-1,,,,
Rajshahi,3.25,5,22.8,63.1,59,209,5,corn khorip-1,,,,
Rangamati,3,5,24.3,65.2,59,193,4.4,corn khorip-1,,,,
Rangpur,4.5,28.5,27.1,73.3,47.5,135,8.3,corn khorip-1,,,,
Barisal,12,1.7,21.7,74.3,48.7,225,3.1,Corn(Robi),,,,
Bogra,10.25,25,27.7,78.9,54,199,5,Corn(Robi),,,,
Chittagonj,12,1,22.8,71.9,54.8,204,5.1,Corn(Robi),,,,
Cumilla,11,18,25.7,76.9,49.5,183,3.7,Corn(Robi),,,,
Dhaka,10.5,26,26.9,75.2,54,190,3.8,Corn(Robi),,,,
Dinajpur,11.25,0,23,73.8,52,154,3.7,Corn(Robi),,,,
Faridpur,12,0.5,21.3,73,47,201,2.8,Corn(Robi),,,,
Jashore,9,52.5,29.5,83.9,31.5,180,4.1,Corn(Robi),,,,
Khulna,12,1,21.5,71,52,194,4,Corn(Robi),,,,
Mymensingh,12,1,21.3,73.8,49,191,3,Corn(Robi),,,,
Rajshahi,11.25,1.3,23.6,72.6,54,151,3.7,Corn(Robi),,,,
Rangamati,10.25,39,27.8,80.7,49,204,3.7,Corn(Robi),,,,
Rangpur,10.25,35.5,26.8,79.9,51.5,134,6.3,Corn(Robi),,,,
Sylhet,12,0.5,21.1,73,55.5,177,4.2,Corn(Robi),,,,
Barisal,12,1.7,21.7,74.3,48.7,225,3.1,masterd seed,,,,
Bogra,11.5,0,23.5,71.1,56,205,3.7,masterd seed,,,,
Chittagonj,12,10,22.8,71.9,54.8,204,5.1,masterd seed,,,,
Cumilla,11,18,25.7,76.9,49.5,183,3.7,masterd seed,,,,
Dhaka,11.5,1.5,23.2,71,52,212,3.7,masterd seed,,,,
Dinajpur,11.5,0,22.2,71.7,54,164,3.7,masterd seed,,,,
Faridpur,10,43,28.9,82.7,39.5,206,3.7,masterd seed,,,,
Jashore,11,8,25.3,74,48.5,175,2.3,masterd seed,,,,
Khulna,10,41,29.1,83,41.5,189,4.3,masterd seed,,,,
Mymensingh,11.5,0,23,74,53,186,3.7,masterd seed,,,,
Rajshahi,11.5,0,22.8,71.4,55,146,3.7,masterd seed,,,,
Rangpur,11.5,0,22.3,72.9,54,134,6.4,masterd seed,,,,
Sylhet,12,0.5,21.1,73,55.5,177,4.2,masterd seed,,,,
Bogra,8,63,29.3,83.6,35,137,6.3,robi onion,,,,
Chittagonj,12,1,22.8,71.9,54.8,204,5.1,robi onion,,,,
Cumilla,7,96,28.6,86.1,23.5,179,7.3,robi onion,,,,
Dhaka,11,10,25.5,73.2,51.5,189,3.7,robi onion,,,,
Dinajpur,4,8,26.7,63.8,52,171,5.6,khorip onion,,,,
Faridpur,11,11.5,26.4,76.4,48.5,202,2.8,robi onion,,,,
Jashore,2,6.5,19.3,59.5,47.5,186,3.2,robi onion,,,,
Mymensingh,11,5,25,76.7,53,181,3.9,robi onion,,,,
Rajshahi,12,0,20.4,74.2,49.5,129,6,robi onion,,,,
Rangpur,12,1,22.8,71.9,54.8,204,5.1,robi onion,,,,
Barisal,2.75,14,27.6,73.6,52.3,210,6.3,papaya,,,,
Bogra,2.75,3,26.5,62.7,58,205,6.7,papaya,,,,
Dhaka,2.75,14,27.3,64.3,55.5,206,6.2,papaya,,,,
Dinajpur,2.75,2,25.3,61.2,55,192,5.6,papaya,,,,
Jashore,2.75,12,27.7,64.4,53,212,4.4,papaya,,,,
Mymensingh,2.75,11,25.9,69,48,179,6.3,papaya,,,,
Rajshahi,2.75,4,27,59.4,59,208,5.6,papaya,,,,
Barisal,10.5,41,28.1,82.9,44.7,228,3.6,robi pumpkin Cucurbita,,,,
Bogra,10.5,25,27.7,78.9,54,199,5,robi pumpkin Cucurbita,,,,
Chittagonj,9,118.3,28.3,85,36.8,179,9.1,robi pumpkin Cucurbita,,,,
Cumilla,10.5,30.5,28,80.6,44.5,201,4.3,robi pumpkin Cucurbita,,,,
Dhaka,10.5,40.5,27.9,77.6,47.5,192,4.1,robi pumpkin Cucurbita,,,,
Jashore,11,9,25.9,76,45.5,153,2.5,robi pumpkin Cucurbita,,,,
Khulna,10.5,31.5,28.3,79.8,49.5,193,4.1,robi pumpkin Cucurbita,,,,
Mymensingh,10,71,28.5,84.1,40,181,4.3,robi pumpkin Cucurbita,,,,
Rajshahi,11,7,27.4,78.5,53,146,3.9,robi pumpkin Cucurbita,,,,
Sylhet,10,63,27.9,83.8,71.2,190,83.3,robi pumpkin Cucurbita,,,,
Barisal,3,5.3,25.6,71.2,54,226,5.2,khorip pumpkin Cucurbita,,,,
Bogra,4,8,28.1,66.2,56,173,6.7,khorip pumpkin Cucurbita,,,,
Chittagonj,4,21.3,27.8,76.7,56,209,10,khorip pumpkin Cucurbita,,,,
Cumilla,2,3,0.2,71.1,47,203,4.6,khorip pumpkin Cucurbita,,,,
Dhaka,3,30,23.7,63,56,234,5,khorip pumpkin Cucurbita,,,,
Jashore,4,11.5,29.2,66.9,55.5,209,5.1,khorip pumpkin Cucurbita,,,,
Khulna,2,5.5,20.3,70,52.5,190,4.9,khorip pumpkin Cucurbita,,,,
Mymensingh,4,20,27,72.5,49,149,7.2,khorip pumpkin Cucurbita,,,,
Rajshahi,4,13,29.1,61.6,57,185,6.1,khorip pumpkin Cucurbita,,,,
Sylhet,4,20,27,72.5,49,149,7.2,khorip pumpkin Cucurbita,,,,
Barisal,4,18,28.5,77.3,53,200,6.9,Aush,,,,
Bogra,5,45,28.9,76.449,49,126,6.7,Aush,,,,
Chittagonj,4,21.3,27.8,76.7,56,209,10,Aush,,,,
Cumilla,5,66,28.9,79.6,46.5,183,7.5,Aush,,,,
Dhaka,5,46,28.6,74.5,51.5,159,6.8,Aush,,,,
Sylhet,5,107.5,27.1,79.4,43.5,163,6.8,Aush,,,,
Rangpur,4,11,26.2,69.1,51.5,148,8.3,Aush,,,,
Rangamati,4,21,27.7,69.8,55,205,6.1,Aush,,,,
Rajshahi,6,48,30.5,78.6,48,139,6.7,Aush,,,,
Mymensingh,5,62,27.8,79.3,44,134,6.8,Aush,,,,
Khulna,5,17.5,30.1,72.8,61.5,192,7.6,Aush,,,,
Jashore,6,49.5,30.7,78.1,41.5,183,4.6,Aush,,,,
Faridpur,4,18,28.5,77.3,53,200,6.9,Aush,,,,
Dinajpur,4,8,26.7,63.8,52,171,5.6,Aush,,,,
Dhaka,5,21,29,69.2,54,175,6.6,Aush,,,,