Agricultural Zone,Month,Week,Rainfall (mm),Mean Temp. (*C),RHmean (%),SShr (hrs),WD (deg),WS (Km/hr),label
Barisal,July,3,111.7,28.5,88.4,23.3,175.0,6.5,Aman
Bogra,August,1,63.3,29.3,83.6,35.0,137.0,6.3,Aman
Chittagonj,July,1,201.7,28.0,86.9,24.0,173.0,10.7,Aman
Cumilla,July,3,107.0,28.5,86.0,26.5,174.0,7.0,Aman
Dhaka,July,2,73.5,29.1,83.0,32.0,159.0,5.9,Aman
Dinajpur,June,4,96.0,29.2,83.0,31.0,121.0,3.7,Aman
Faridpur,July,4,84.5,29.0,85.5,32.0,180.0,5.6,Aman
Khulna,August,3,76.5,29.1,85.6,31.0,170.0,6.5,Aman
Jashore,August,2,56.0,29.5,84.3,32.5,172.0,4.3,Aman
Mymensingh,August,2,89.0,28.7,85.6,25.0,152.0,7.2,Aman
Rajshahi,July,1,51.0,30.0,81.7,35.0,129.0,6.7,Aman
Rangamati,July,1,134.0,28.4,83.4,30.0,186.0,5.6,Aman
Sylhet,August,2,129.5,28.4,85.1,26.0,160.0,6.2,Aman
Rangpur,July,1,106.0,29.2,84.4,27.0,131.0,7.1,Aman
Barisal,October,1,9.0,24.8,77.2,49.0,232.0,2.7,Red Lentil
Bogra,November,1,5.0,25.3,73.5,55.0,200.0,3.7,Red Lentil
Chittagonj,October,1,75.7,28.3,82.4,45.8,203.0,6.7,Red Lentil
Cumilla,October,1,46.5,28.3,81.9,43.0,214.0,4.3,Red Lentil
Dhaka,October,2,40.5,27.9,77.6,47.5,192.0,4.1,Red Lentil
Dinajpur,October,1,42.0,27.8,81.2,45.0,146.0,3.7,Red Lentil
Faridpur,October,2,43.0,28.0,79.3,46.0,208.0,2.9,Red Lentil
Jashore,November,1,8.0,25.3,74.0,48.5,175.0,2.3,Red Lentil
Mymensingh,October,2,45.0,27.5,81.0,47.0,193.0,3.7,Red Lentil
Rajshahi,October,2,23.0,27.4,78.5,53.0,146.0,3.9,Red Lentil
Sylhet,October,1,60.0,27.5,82.4,43.5,191.0,4.7,Red Lentil
Rangpur,October,2,35.5,26.8,79.9,51.5,134.0,6.3,Red Lentil
Barisal,December,1,1.7,21.7,74.3,48.7,225.0,3.1,Tomato
Bogra,December,1,1.7,21.7,74.3,48.7,225.0,3.1,Tomato
Chittagonj,September,1,92.7,28.3,84.5,35.8,185.0,8.6,Tomato
Cumilla,September,1,53.0,28.8,84.3,32.0,186.0,5.3,Tomato
Dhaka,September,1,60.5,29.2,82.5,33.5,163.0,5.5,Tomato
Dinajpur,November,1,5.0,24.9,55.4,55.0,149.0,3.5,Tomato
Jashore,November,1,9.0,25.9,76.0,45.5,153.0,2.5,Tomato
Khulna,October,1,41.0,29.1,83.0,41.5,189.0,4.3,Tomato
Mymensingh,September,1,63.0,28.7,85.4,28.0,151.0,5.6,Tomato
Rajshahi,November,1,7.0,27.4,78.5,53.0,146.0,3.9,Tomato
Barisal,November,2,9.0,24.8,77.2,49.0,232.0,2.7,Wheat
Bogra,November,2,0.0,24.2,72.0,55.0,202.0,3.7,Wheat
Cumilla,November,4,2.5,22.5,74.0,48.5,195.0,3.3,Wheat
Dhaka,November,2,6.0,24.3,72.0,51.5,199.0,3.7,Wheat
Dinajpur,November,2,0.0,23.0,73.8,52.0,154.0,3.7,Wheat
Faridpur,November,2,8.0,24.4,74.3,49.5,202.0,208.0,Wheat
Jashore,November,2,7.5,24.2,72.8,49.5,177.0,2.5,Wheat
Khulna,November,2,8.0,24.7,73.6,52.5,189.0,3.8,Wheat
Mymensingh,November,1,7.0,25.9,78.0,51.0,186.0,3.7,Wheat
Rajshahi,November,2,1.0,23.6,72.6,54.0,151.0,3.7,Wheat
Rangpur,October,2,35.5,26.8,79.9,51.5,134.0,6.3,Wheat
Sylhet,November,2,8.5,23.5,75.7,55.5,180.0,4.3,Wheat
Barisal,February,1,4.0,21.2,70.9,52.3,211.0,4.6,Banana
Bogra,February,1,4.0,21.2,70.9,52.3,211.0,4.6,Banana
Dhaka,February,1,4.0,20.7,65.7,51.5,236.0,4.5,Banana
Jashore,February,1,5.0,20.5,68.2,49.5,191.0,3.1,Banana
Mymensingh,February,1,1.0,20.2,68.7,48.0,218.0,3.9,Banana
Rangamati,February,1,2.0,21.4,67.3,57.0,176.0,3.7,Banana
Rangpur,February,1,2.0,19.3,71.2,48.5,192.0,6.6,Banana
Barisal,November,1,9.0,24.8,77.2,49.0,232.0,2.7,Brinjal(Robi)
Bogra,September,1,60.0,29.2,84.0,35.0,147.0,5.6,Brinjal(Robi)
Chittagonj,October,1,75.7,28.3,82.4,45.8,203.0,6.7,Brinjal(Robi)
Cumilla,October,1,51.0,28.8,82.9,39.0,203.0,4.6,Brinjal(Robi)
Dhaka,October,1,47.0,28.9,80.6,40.0,194.0,4.0,Brinjal(Robi)
Jashore,September,2,68.0,29.5,83.7,33.0,186.0,4.1,Brinjal(Robi)
Sylhet,October,1,63.0,27.9,83.8,40.5,190.0,4.6,Brinjal(Robi)
Rajshahi,November,1,7.0,27.4,78.5,53.0,146.0,3.9,Brinjal(Robi)
Mymensingh,September,3,79.0,29.0,84.6,31.0,156.0,5.4,Brinjal(Robi)
Khulna,October,3,31.5,28.3,79.8,49.5,193.0,4.1,Brinjal(Robi)
Barisal,February,3,8.0,23.3,71.0,52.0,211.0,4.9,Brinjal(Khorip)
Bogra,March,1,4.0,25.1,61.8,61.0,225.0,6.7,Brinjal(Khorip)
Chittagonj,April,1,21.3,27.8,76.7,56.0,209.0,10.0,Brinjal(Khorip)
Cumilla,April,1,25.5,27.8,76.4,51.0,194.0,7.1,Brinjal(Khorip)
Dhaka,March,2,9.5,26.1,62.5,58.0,223.0,5.7,Brinjal(Khorip)
Jashore,March,2,4.5,26.3,63.9,55.0,230.0,4.1,Brinjal(Khorip)
Sylhet,May,1,102.5,26.7,78.5,45.0,153.0,7.1,Brinjal(Khorip)
Rajshahi,May,1,24.0,29.6,71.1,52.0,136.0,7.4,Brinjal(Khorip)
Mymensingh,March,2,6.0,24.8,67.4,53.0,208.0,5.6,Brinjal(Khorip)
Khulna,June,1,52.0,30.7,79.5,41.5,178.0,6.7,Brinjal(Khorip)
Barisal,December,1,0.0,21.4,70.9,54.0,222.0,3.7,Sugarcane
Bogra,December,1,0.0,21.4,70.9,54.0,222.0,3.7,Sugarcane
Chittagonj,November,1,19.3,27.1,78.6,52.3,196.0,6.0,Sugarcane
Cumilla,November,1,11.5,26.4,77.9,47.0,202.0,3.5,Sugarcane
Dhaka,November,1,12.5,26.2,74.6,49.5,190.0,3.7,Sugarcane
Dinajpur,November,1,5.0,24.9,75.7,55.0,149.0,3.5,Sugarcane
Faridpur,October,3,43.0,28.0,79.3,46.0,208.0,2.9,Sugarcane
Jashore,October,1,44.56,29.1,81.7,40.0,195.0,3.1,Sugarcane
Khulna,November,3,8.0,24.7,73.6,52.5,189.0,3.8,Sugarcane
Mymensingh,November,1,7.0,25.9,78.0,51.0,186.0,3.7,Sugarcane
Rajshahi,October,3,23.0,28.9,81.9,46.0,145.0,4.8,Sugarcane
Rangamati,November,1,9.0,26.7,79.5,47.0,178.0,3.7,Sugarcane
Rangpur,November,1,4.0,25.0,76.6,55.5,115.0,6.6,Sugarcane
Barisal,January,1,1.3,18.9,74.1,46.7,209.0,4.5,Soybean
Chittagonj,January,1,0.3,20.3,71.0,53.3,200.0,6.6,Soybean
Rangpur,January,1,1.0,16.8,77.3,36.0,199.0,5.7,Soybean
Barisal,December,3,1.3,18.9,74.1,46.7,209.0,4.5,Boro
Bogra,January,4,0.0,18.7,72.5,49.0,149.0,3.7,Boro
Chittagonj,November,4,14.3,25.3,74.9,55.5,199.0,5.6,Boro
Cumilla,October,4,30.5,28.0,80.6,44.5,201.0,4.3,Boro
Dhaka,November,3,4.5,23.3,71.0,52.0,212.0,3.7,Boro
Dinajpur,December,3,0.0,17.4,75.3,37.0,213.0,3.7,Boro
Faridpur,November,3,8.0,24.4,74.3,49.5,202.0,2.8,Boro
Jashore,February,3,8.0,22.8,66.5,54.5,214.0,3.7,Boro
Khulna,February,3,13.5,23.6,68.0,55.5,218.0,5.0,Boro
Mymensingh,December,3,0.0,19.4,74.9,40.0,199.0,3.7,Boro
Rajshahi,January,2,1.0,17.5,72.9,42.0,161.0,3.7,Boro
Rangamati,December,3,0.0,20.6,75.4,50.0,161.0,3.7,Boro
Rangpur,December,3,0.0,16.8,76.9,42.5,160.0,5.6,Boro
Sylhet,November,3,14.5,24.6,77.2,55.5,179.0,4.5,Boro
Dhaka,October,2,40.5,27.9,77.6,47.5,192.0,4.1,Potato
Barisal,November,1,25.3,25.7,79.2,47.3,21.4,3.1,Potato
Bogra,October,1,42.0,28.2,81.0,48.0,184.0,5.0,Potato
Chittagonj,October,1,75.7,28.3,82.4,45.8,203.0,6.7,Potato
Cumilla,October,1,46.5,28.3,81.9,43.0,214.0,4.3,Potato
Dinajpur,November,2,0.0,23.0,73.8,52.0,154.0,3.7,Potato
Faridpur,October,1,43.0,28.0,79.3,46.0,208.0,2.9,Potato
Jashore,November,1,7.5,24.2,72.8,49.5,177.0,2.4,Potato
Khulna,November,1,13.0,25.8,74.7,53.5,176.0,4.1,Potato
Mymensingh,October,2,45.0,27.5,81.0,47.0,193.0,3.7,Potato
Rajshahi,October,2,23.0,27.4,78.5,53.0,146.0,3.9,Potato
Rangamati,October,2,30.0,27.9,81.6,42.0,211.0,3.7,Potato
Rangpur,November,2,2.0,23.3,74.3,52.0,126.0,6.3,Potato
Sylhet,October,1,60.0,27.5,82.4,43.5,191.0,4.7,Potato
Dinajpur,January,2,2.0,16.4,75.0,34.0,238.0,3.7,Mango
Jashore,January,2,1.5,17.6,71.6,42.5,156.0,3.0,Mango
Khulna,December,4,1.0,19.1,71.7,48.5,177.0,4.6,Mango
Rajshahi,January,3,2.0,26.0,54.0,56.0,190.0,3.0,Mango
Rangamati,January,2,0.0,19.6,72.4,50.0,152.0,3.7,Mango
Rangpur,January,2,3.0,16.4,76.9,36.5,214.0,5.7,Mango
Bogra,November,1,5.0,26.0,75.0,52.0,186.0,4.4,robi pointed gourd
Cumilla,October,1,51.0,28.8,82.9,39.0,203.0,4.6,robi pointed gourd
Dhaka,November,1,12.5,26.2,74.6,49.5,190.0,3.7,robi pointed gourd
Rajshahi,September,1,54.0,29.5,83.8,35.0,142.0,5.6,robi pointed gourd
Jashore,October,1,44.5,29.1,81.7,40.0,195.0,3.1,robi pointed gourd
Mymensingh,June,1,96.0,28.8,83.6,34.0,142.0,6.1,robi pointed gourd
Bogra,March,1,5.0,22.9,63.4,60.0,235.0,5.7,khorip pointed grourd
Cumilla,February,1,3.0,20.2,71.1,47.0,203.0,4.6,khorip pointed grourd
Rangpur,October,1,58.0,28.5,82.4,42.5,147.0,6.0,khorip pointed grourd
Rajshahi,January,1,1.0,17.5,72.9,42.0,146.0,3.9,khorip pointed grourd
Dinajpur,May,1,31.0,27.3,75.0,49.0,118.0,3.9,khorip pointed grourd
Jashore,March,1,4.0,23.7,64.9,55.0,219.0,3.5,khorip pointed grourd
Mymensingh,February,1,2.0,19.5,70.3,44.0,228.0,3.7,khorip pointed grourd
Dhaka,February,1,3.5,19.9,67.3,49.5,241.0,4.3,khorip pointed grourd
Chittagonj,December,1,1.0,22.8,71.9,54.8,204.0,5.1,pineapple
Dhaka,December,1,2.0,21.5,71.2,47.6,219.0,3.7,pineapple
Mymensingh,December,1,1.0,21.3,73.8,49.0,191.0,3.0,pineapple
Rangamati,December,1,0.0,22.3,75.8,53.0,169.0,3.7,pineapple
Sylhet,December,1,1.0,21.1,73.0,55.5,177.0,4.2,pineapple
Barisal,November,1,13.0,15.8,74.7,53.5,176.0,4.1,robi green chilli 
Bogra,December,1,0.0,21.4,70.9,54.0,222.0,3.7,robi green chilli 
Chittagonj,December,1,1.0,22.8,71.9,54.8,204.0,5.1,robi green chilli 
Cumilla,October,1,51.0,28.8,82.9,39.0,203.0,4.6,robi green chilli 
Dinajpur,October,1,0.0,20.2,72.5,48.0,183.0,2.6,robi green chilli 
Faridpur,January,1,0.5,18.3,73.9,41.5,191.0,3.4,robi green chilli 
Jashore,October,1,44.5,29.1,81.7,40.0,195.0,3.1,robi green chilli 
Mymensingh,November,1,7.0,25.9,78.0,51.0,186.0,3.7,robi green chilli 
Rajshahi,November,1,7.0,27.4,78.5,53.0,146.0,3.9,robi green chilli 
Rangpur,December,1,0.0,21.4,70.9,54.0,222.0,3.7,robi green chilli 
Sylhet,December,1,0.5,21.2,73.0,55.5,177.0,4.2,robi green chilli 
Barisal,April,3,25.0,29.1,78.9,54.7,197.0,7.5,khorip green chilli
Bogra,April,1,8.0,28.5,66.2,56.0,173.0,6.7,khorip green chilli
Cumilla,March,1,7.0,25.0,70.6,52.5,216.0,4.8,khorip green chilli
Dinajpur,April,1,8.0,26.7,63.8,52.0,171.0,5.6,khorip green chilli
Faridpur,April,1,18.0,28.5,77.3,53.0,200.0,6.9,khorip green chilli
Jashore,April,1,11.5,29.2,66.9,55.5,209.0,5.1,khorip green chilli
Rajshahi,April,1,13.0,29.1,61.6,57.0,185.0,6.1,khorip green chilli
Rangpur,April,1,11.0,26.2,69.1,51.5,148.0,4.3,khorip green chilli
Sylhet,April,1,65.5,26.5,72.9,50.5,188.0,8.8,khorip green chilli
Bogra,July,1,93.0,29.0,84.6,28.0,141.0,5.6,Tula
Dhaka,July,1,82.5,29.1,84.1,27.0,162.0,5.8,Tula
Dinajpur,July,1,109.0,29.0,84.2,27.0,127.0,3.7,Tula
Jashore,July,1,82.0,29.4,85.2,24.5,186.0,4.4,Tula
Mymensingh,July,1,109.0,28.6,86.3,24.0,156.0,7.2,Tula
Rajshahi,July,1,66.0,29.4,85.2,30.0,141.0,5.78,Tula
Rangpur,July,1,106.0,29.2,84.4,27.0,143.0,6.8,Tula
Barisal,November,1,19.3,26.5,80.5,47.0,214.0,3.5,Rabi Cucumber
Bogra,February,2,1.0,20.3,66.8,52.0,233.0,5.6,Rabi Cucumber
Chittagonj,August,1,60.3,28.6,82.9,42.5,202.0,7.4,Rabi Cucumber
Dhaka,November,1,12.5,26.2,74.6,49.5,190.0,3.7,Rabi Cucumber
Faridpur,April,1,18.0,28.5,77.6,53.0,200.0,6.9,Rabi Cucumber
Jashore,March,1,4.0,23.7,64.9,55.0,219.0,3.5,Rabi Cucumber
Khulna,October,1,41.0,29.1,83.0,41.5,189.0,4.3,Rabi Cucumber
Rajshahi,November,1,7.0,27.4,78.5,53.0,146.0,3.9,Rabi Cucumber
Barisal,March,1,5.7,24.5,70.8,53.7,214.0,5.1,Kharif cucumber
Chittagonj,April,3,34.03,28.6,77.1,54.8,205.0,10.6,Kharif cucumber
Dhaka,March,1,3.5,23.7,63.0,56.0,234.0,5.0,Kharif cucumber
Faridpur,October,1,84.0,29.0,33.0,56.0,177.0,5.6,Kharif cucumber
Jashore,April,1,11.5,29.2,66.9,55.5,209.0,5.1,Kharif cucumber
Khulna,April,1,12.5,29.5,71.5,59.0,202.0,7.1,Kharif cucumber
Rajshahi,April,2,13.0,29.5,61.6,57.0,185.0,6.1,Kharif cucumber
